1232021-11-02 05:02:27,443 gpu device = 0
2021-11-02 05:15:22,680 train 700 1.300945e+00 67.882935 97.068919
2021-11-02 05:15:38,609 train 750 1.296053e+00 68.015563 97.091378
2021-11-02 05:15:48,379 train_acc 68.142000
2021-11-02 05:15:48,536 valid 000 5.941049e-01 80.952377 100.000000
2021-11-02 05:15:51,096 valid 050 9.008185e-01 70.028011 97.292251
2021-11-02 05:15:53,372 valid 100 8.883512e-01 70.108439 97.454032
2021-11-02 05:15:55,935 valid 150 9.051724e-01 70.072532 97.161780
2021-11-02 05:15:58,510 valid 200 9.132246e-01 70.362473 97.086000
2021-11-02 05:16:00,946 valid 250 9.029064e-01 70.802504 97.154241
2021-11-02 05:16:03,443 valid 300 9.026849e-01 70.748299 97.247272
2021-11-02 05:16:05,841 valid 350 9.044705e-01 70.587437 97.218832
2021-11-02 05:16:08,282 valid 400 9.153919e-01 70.205438 97.114358
2021-11-02 05:16:10,828 valid 450 9.162095e-01 70.246014 97.043608
2021-11-02 05:16:12,090 valid_acc 70.329999
2021-11-02 05:16:12,091 epoch 3 lr 2.494452e-02
2021-11-02 05:16:12,541 train 000 1.141762e+00 70.312500 98.437500
2021-11-02 05:16:28,575 train 050 1.171688e+00 70.526961 97.947304
2021-11-02 05:16:44,567 train 100 1.173436e+00 70.869431 97.772277
2021-11-02 05:17:00,526 train 150 1.143560e+00 71.988825 97.837334
2021-11-02 05:17:16,373 train 200 1.144954e+00 72.007152 97.901119
2021-11-02 05:17:32,205 train 250 1.140230e+00 72.074203 97.889691
2021-11-02 05:17:48,209 train 300 1.138562e+00 72.093023 97.892442
2021-11-02 05:18:04,084 train 350 1.143722e+00 72.004095 97.885506
2021-11-02 05:18:19,985 train 400 1.140943e+00 72.038653 97.911471
2021-11-02 05:18:35,845 train 450 1.138630e+00 72.179878 97.851996
2021-11-02 05:18:51,717 train 500 1.130790e+00 72.267964 97.838698
2021-11-02 05:19:07,668 train 550 1.128727e+00 72.382600 97.859006
2021-11-02 05:19:23,484 train 600 1.128951e+00 72.368968 97.857737
2021-11-02 05:19:39,540 train 650 1.127889e+00 72.381432 97.907066
2021-11-02 05:19:55,501 train 700 1.124280e+00 72.414408 97.891405
2021-11-02 05:20:11,499 train 750 1.119018e+00 72.561585 97.927763
2021-11-02 05:20:21,351 train_acc 72.628000
2021-11-02 05:20:21,512 valid 000 3.967526e-01 85.714287 100.000000
2021-11-02 05:20:24,081 valid 050 6.704917e-01 77.030812 98.412698
2021-11-02 05:20:26,442 valid 100 6.626914e-01 77.463460 98.491278
2021-11-02 05:20:28,979 valid 150 6.820643e-01 76.568905 98.360139
2021-11-02 05:20:31,523 valid 200 6.875861e-01 76.332622 98.341626
2021-11-02 05:20:33,993 valid 250 6.793714e-01 76.531967 98.368432
2021-11-02 05:20:36,470 valid 300 6.742444e-01 76.522701 98.433793
2021-11-02 05:20:38,876 valid 350 6.774015e-01 76.488942 98.439832
2021-11-02 05:20:41,460 valid 400 6.748185e-01 76.475477 98.503741
2021-11-02 05:20:43,957 valid 450 6.792538e-01 76.496673 98.500687
2021-11-02 05:20:45,236 valid_acc 76.459999
2021-11-02 05:20:45,238 epoch 4 lr 2.490143e-02
2021-11-02 05:20:45,690 train 000 1.157716e+00 75.000000 100.000000
